Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
351–400,University of Eastern FinlandFinlandCourses,"11,572",18.7,7%,63 : 37,351–400,41.7–43.9,25.8,28.0,75.4,38.2,50.8,2019
351–400,Free University of Bozen-BolzanoItalyCourses,"3,445",11.4,11%,67 : 33,351–400,41.7–43.9,19.3,12.6,87.2,34.5,74.5,2019
351–400,Hanyang UniversitySouth KoreaCoursesExplore,"20,010",14.8,19%,,351–400,41.7–43.9,39.1,40.0,44.1,86.1,59.8,2019
351–400,Hofstra UniversityUnited StatesCoursesExplore,"9,813",13.6,10%,57 : 43,351–400,41.7–43.9,37.9,12.7,84.7,34.0,29.4,2019
351–400,Huazhong University of Science and TechnologyChinaCoursesExplore,"56,282",16.6,5%,35 : 65,351–400,41.7–43.9,37.9,32.9,57.1,75.2,24.6,2019
351–400,IMT AtlantiqueFranceCourses,"1,664",8.0,45%,,351–400,41.7–43.9,31.9,22.2,59.8,90.4,75.6,2019
351–400,Indian Institute of Technology IndoreIndiaCourses,"1,118",8.6,0%,15 : 85,351–400,41.7–43.9,25.1,20.2,86.5,34.0,18.2,2019
351–400,University of InnsbruckAustriaCourses,"14,524",13.0,39%,54 : 46,351–400,41.7–43.9,26.7,19.9,71.1,43.7,97.4,2019
351–400,Iowa State UniversityUnited StatesCoursesEnquire,"31,931",18.3,12%,44 : 56,351–400,41.7–43.9,28.8,32.2,63.7,49.5,55.5,2019
351–400,Jordan University of Science and TechnologyJordanCourses,"22,318",12.1,19%,57 : 43,351–400,41.7–43.9,15.2,7.8,98.3,36.9,63.6,2019
351–400,Justus Liebig University GiessenGermanyCourses,"28,389",47.0,9%,61 : 39,351–400,41.7–43.9,34.9,33.0,59.3,40.7,53.3,2019
351–400,University of KansasUnited StatesCoursesEnquire,"24,450",9.9,9%,51 : 49,351–400,41.7–43.9,37.2,24.5,65.6,41.9,33.6,2019
351–400,University of KentUnited KingdomCoursesExplore,"17,369",13.1,30%,53 : 47,351–400,41.7–43.9,23.7,23.4,69.8,34.4,90.8,2019
351–400,Kyung Hee UniversitySouth KoreaCoursesExplore,"22,013",16.9,23%,45 : 55,351–400,41.7–43.9,33.9,38.3,50.3,86.9,64.7,2019
351–400,Linköping UniversitySwedenCoursesVerify Documents,"18,221",8.2,11%,55 : 45,351–400,41.7–43.9,24.1,19.2,79.1,43.8,64.0,2019
351–400,University of MacauMacaoCoursesExplore,"9,893",15.2,36%,58 : 42,351–400,41.7–43.9,26.2,29.8,60.3,45.4,99.3,2019
351–400,Maynooth UniversityIrelandCourses,"8,768",27.6,12%,56 : 44,351–400,41.7–43.9,20.8,27.7,73.1,37.1,78.9,2019
351–400,University of Modena and Reggio EmiliaItalyCourses,"16,137",22.2,6%,53 : 47,351–400,41.7–43.9,31.3,19.3,78.4,41.3,39.2,2019
351–400,Nankai UniversityChinaCoursesExplore,"28,336",13.7,6%,,351–400,41.7–43.9,38.2,20.8,75.1,43.1,32.3,2019
351–400,National Research Nuclear University MEPhIRussian FederationCourses,"6,804",9.7,21%,30 : 70,351–400,41.7–43.9,39.7,33.9,43.3,100.0,60.6,2019
351–400,University of Nebraska-LincolnUnited StatesCoursesExplore,"22,728",16.6,12%,48 : 52,351–400,41.7–43.9,32.2,26.2,66.5,39.5,54.7,2019
351–400,Norwegian University of Science and TechnologyNorwayCoursesVerify Documents,"34,803",16.2,9%,49 : 51,351–400,41.7–43.9,25.2,28.5,67.8,37.9,60.8,2019
351–400,University of PerugiaItalyCourses,"23,401",34.4,5%,56 : 44,351–400,41.7–43.9,17.0,20.6,90.8,45.4,44.3,2019
351–400,Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support,"7,459",15.4,19%,32 : 68,351–400,41.7–43.9,27.9,30.1,67.1,68.3,49.9,2019
351–400,Rush UniversityUnited StatesCoursesEnquire,"2,426",1.4,1%,74 : 26,351–400,41.7–43.9,34.6,10.6,90.4,39.5,20.0,2019
351–400,Sabancı UniversityTurkeyCoursesExplore,"3,632",22.0,10%,38 : 62,351–400,41.7–43.9,27.3,35.6,56.3,95.5,48.4,2019
351–400,University of SalernoItalyCourses,"23,171",24.3,2%,58 : 42,351–400,41.7–43.9,17.5,17.4,93.9,37.7,33.1,2019
351–400,University of SienaItalyCourses,"12,143",13.8,7%,59 : 41,351–400,41.7–43.9,36.9,20.3,69.7,36.6,42.5,2019
351–400,University of TasmaniaAustraliaCoursesEnquire,"11,920",15.0,26%,57 : 43,351–400,41.7–43.9,24.6,31.3,60.2,50.6,86.2,2019
351–400,Temple UniversityUnited StatesCoursesEnquire,"34,450",9.1,9%,52 : 48,351–400,41.7–43.9,34.0,16.3,83.2,37.1,37.5,2019
351–400,University of TurkuFinlandCourses,"12,604",16.3,6%,62 : 38,351–400,41.7–43.9,25.3,29.3,73.8,36.5,52.0,2019
351–400,United Arab Emirates UniversityUnited Arab EmiratesCoursesExplore,"7,494",9.2,24%,81 : 19,351–400,41.7–43.9,23.2,18.9,69.5,47.4,94.3,2019
351–400,University of VermontUnited StatesCoursesEnquire,"11,126",8.7,5%,56 : 44,351–400,41.7–43.9,27.9,19.9,81.4,47.1,28.7,2019
351–400,Western Sydney UniversityAustraliaCoursesExplore,"32,461",33.2,14%,55 : 45,351–400,41.7–43.9,17.6,27.0,76.4,39.7,79.8,2019
351–400,York UniversityCanadaCoursesExplore,"46,220",41.5,24%,57 : 43,351–400,41.7–43.9,31.0,41.3,47.9,42.5,75.3,2019
401–500,The University of AlabamaUnited StatesCoursesEnquire,"34,539",22.3,5%,55 : 45,401–500,37.1–41.6,26.1,21.1,79.2,34.8,29.0,2019
401–500,University of Alabama in HuntsvilleUnited StatesCoursesEnquire,"5,969",14.1,9%,44 : 56,401–500,37.1–41.6,20.7,21.3,67.1,68.2,44.8,2019
401–500,American University of BeirutLebanonCourses,"8,214",8.6,21%,51 : 49,401–500,37.1–41.6,27.9,14.6,66.2,39.3,88.3,2019
401–500,Australian Catholic UniversityAustraliaCoursesEnquire,"23,078",42.4,11%,73 : 27,401–500,37.1–41.6,18.3,26.9,62.0,39.4,71.7,2019
401–500,Bangor UniversityUnited KingdomCoursesEnquire,"9,277",18.9,24%,56 : 44,401–500,37.1–41.6,24.9,21.6,67.7,35.6,81.6,2019
401–500,University of Bari Aldo MoroItalyCourses,"30,273",20.6,1%,61 : 39,401–500,37.1–41.6,17.3,17.0,82.1,37.4,32.0,2019
401–500,Bar-Ilan UniversityIsraelCourses,"16,637",17.7,5%,59 : 41,401–500,37.1–41.6,28.1,34.3,52.3,52.9,53.3,2019
401–500,University of BordeauxFranceCoursesExplore,"54,484",21.3,13%,58 : 42,401–500,37.1–41.6,31.1,21.6,66.8,36.5,56.9,2019
401–500,Brunel University LondonUnited KingdomCoursesEnquire,"10,979",16.0,38%,47 : 53,401–500,37.1–41.6,26.2,26.6,57.3,38.2,94.8,2019
401–500,University of CalabriaItalyCourses,"29,008",33.3,2%,60 : 40,401–500,37.1–41.6,16.4,22.0,72.9,89.3,37.7,2019
401–500,University of CampinasBrazilCourses,"27,936",14.5,4%,47 : 53,401–500,37.1–41.6,46.8,37.5,33.4,44.6,28.6,2019
401–500,Catholic University of the Sacred HeartItalyCourses,"30,690",22.2,9%,66 : 34,401–500,37.1–41.6,19.1,20.4,69.3,43.6,44.8,2019
401–500,Centrale NantesFranceCourses,"1,656",16.0,43%,25 : 75,401–500,37.1–41.6,32.3,28.5,44.3,80.6,82.8,2019
401–500,CentraleSupélecFranceCourses,"4,339",12.1,32%,22 : 78,401–500,37.1–41.6,30.8,18.7,53.9,65.6,83.8,2019
401–500,Charles University in PragueCzech RepublicCourses,"49,236",12.9,17%,62 : 38,401–500,37.1–41.6,31.6,24.8,55.9,34.4,57.4,2019
401–500,Claude Bernard University Lyon 1FranceCourses,"26,034",12.3,13%,52 : 48,401–500,37.1–41.6,23.5,21.9,63.5,38.6,55.7,2019
401–500,"Colorado State University, Fort CollinsUnited StatesCoursesEnquire","25,374",16.5,6%,53 : 47,401–500,37.1–41.6,29.0,25.7,68.1,39.1,38.4,2019
401–500,Complutense University of MadridSpainCoursesVerify Documents,"64,466",20.1,14%,61 : 39,401–500,37.1–41.6,42.4,28.4,42.7,35.6,44.3,2019
401–500,University of DesarrolloChileCoursesExplore,"15,925",18.0,2%,55 : 45,401–500,37.1–41.6,12.5,8.2,94.3,35.5,45.6,2019
401–500,Diego Portales UniversityChileCourses,"16,802",14.6,2%,49 : 51,401–500,37.1–41.6,13.2,10.3,90.1,34.0,51.2,2019
401–500,Dublin City UniversityIrelandCourses,"9,748",27.3,14%,50 : 50,401–500,37.1–41.6,23.5,28.5,52.0,48.8,78.7,2019
401–500,University of FerraraItalyCourses,"14,464",24.4,7%,56 : 44,401–500,37.1–41.6,18.7,20.0,74.8,38.4,43.7,2019
401–500,University of FlorenceItalyCourses,"35,055",20.5,7%,55 : 45,401–500,37.1–41.6,36.3,13.4,68.2,39.9,41.4,2019
401–500,Florida International UniversityUnited StatesCoursesExplore,"33,394",23.9,8%,56 : 44,401–500,37.1–41.6,28.9,21.8,61.8,37.0,38.3,2019
401–500,Fujita Health UniversityJapanCoursesExplore,"2,810",3.1,0%,55 : 45,401–500,37.1–41.6,23.0,8.7,88.1,37.3,18.3,2019
401–500,University of GenoaItalyCourses,"23,547",18.9,9%,55 : 45,401–500,37.1–41.6,30.4,20.5,66.0,42.1,43.2,2019
401–500,University of GeorgiaUnited StatesCoursesEnquire,"34,707",16.6,8%,57 : 43,401–500,37.1–41.6,33.6,32.1,59.0,36.6,43.9,2019
401–500,Georgia State UniversityUnited StatesCoursesEnquire,"33,233",16.1,5%,59 : 41,401–500,37.1–41.6,32.0,25.0,62.3,34.4,38.1,2019
401–500,Graz University of TechnologyAustriaCourses,"6,403",10.2,19%,23 : 77,401–500,37.1–41.6,30.4,17.3,57.3,70.8,77.3,2019
401–500,University of GreifswaldGermanyCourses,"10,414",19.7,6%,56 : 44,401–500,37.1–41.6,31.4,20.9,61.1,37.6,47.0,2019
401–500,Gwangju Institute of Science and TechnologySouth KoreaCourses,"1,964",11.6,6%,26 : 74,401–500,37.1–41.6,41.9,39.4,38.3,69.4,34.2,2019
401–500,Hamburg University of TechnologyGermanyCourses,"7,452",50.7,18%,26 : 74,401–500,37.1–41.6,35.7,24.1,47.8,78.2,50.8,2019
401–500,Harbin Institute of TechnologyChinaCourses,"30,116",9.9,10%,31 : 69,401–500,37.1–41.6,41.5,34.0,39.5,98.4,35.0,2019
401–500,Hasselt UniversityBelgiumCourses,"5,256",32.4,12%,47 : 53,401–500,37.1–41.6,30.4,28.6,55.3,54.1,67.6,2019
401–500,Hokkaido UniversityJapanCourses,"18,114",7.9,10%,30 : 70,401–500,37.1–41.6,45.0,39.7,34.9,59.0,35.3,2019
401–500,Hong Kong Baptist UniversityHong KongCoursesExplore,"10,872",10.5,31%,62 : 38,401–500,37.1–41.6,23.3,14.3,64.2,36.6,98.0,2019
401–500,Indian Institute of Technology BombayIndiaCourses,"10,001",17.1,1%,18 : 82,401–500,37.1–41.6,44.3,33.0,47.0,71.9,19.6,2019
401–500,Indian Institute of Technology RoorkeeIndiaCourses,"7,925",17.4,2%,10 : 90,401–500,37.1–41.6,34.9,29.6,53.4,82.9,16.2,2019
401–500,JSS Academy of Higher Education and ResearchIndiaCourses,"5,421",8.6,8%,55 : 45,401–500,37.1–41.6,37.1,7.7,80.8,35.1,25.7,2019
401–500,University of JyväskyläFinlandCourses,"10,338",15.9,5%,60 : 40,401–500,37.1–41.6,27.7,29.3,59.7,36.0,51.5,2019
401–500,University of KaiserslauternGermanyCoursesVerify Documents,"14,648",53.9,16%,38 : 62,401–500,37.1–41.6,35.8,23.6,49.2,69.6,49.9,2019
401–500,University of KentuckyUnited StatesCoursesEnquire,"27,299",14.5,5%,55 : 45,401–500,37.1–41.6,27.4,28.9,55.2,39.1,36.6,2019
401–500,Koç UniversityTurkeyCourses,"5,378",15.7,8%,52 : 48,401–500,37.1–41.6,25.6,32.8,55.1,79.4,53.8,2019
401–500,University of KwaZulu-NatalSouth AfricaCoursesExplore,"35,451",28.4,5%,58 : 42,401–500,37.1–41.6,24.6,28.7,60.9,38.3,55.9,2019
401–500,Kyushu UniversityJapanCourses,"18,647",8.3,12%,28 : 72,401–500,37.1–41.6,46.2,39.8,34.0,77.3,37.0,2019
401–500,Leibniz University HannoverGermanyCourses,"26,318",44.4,12%,40 : 60,401–500,37.1–41.6,36.4,27.0,46.5,48.0,45.7,2019
401–500,University of LilleFranceCourses,"66,710",28.2,12%,56 : 44,401–500,37.1–41.6,19.8,22.8,64.1,38.6,58.5,2019
401–500,Loughborough UniversityUnited KingdomCoursesEnquire,"14,225",14.7,24%,39 : 61,401–500,37.1–41.6,31.6,31.3,51.4,38.5,79.6,2019
401–500,University of ManitobaCanadaCoursesEnquire,"29,260",28.4,16%,54 : 46,401–500,37.1–41.6,26.6,31.0,63.8,41.6,53.0,2019
401–500,Marche Polytechnic UniversityItalyCourses,"10,850",20.9,4%,48 : 52,401–500,37.1–41.6,21.2,18.8,73.6,40.5,30.5,2019
401–500,Middlesex UniversityUnited KingdomCoursesEnquire,"15,135",18.0,46%,60 : 40,401–500,37.1–41.6,19.2,16.9,77.3,34.2,88.7,2019
401–500,University of Milan-BicoccaItalyCourses,"26,508",30.4,6%,62 : 38,401–500,37.1–41.6,23.3,19.8,79.0,38.1,43.5,2019
401–500,University of MontanaUnited StatesCoursesEnquire,"8,957",16.1,3%,56 : 44,401–500,37.1–41.6,37.9,20.4,68.0,34.6,26.6,2019
401–500,Murdoch UniversityAustraliaCoursesExplore,"15,723",30.9,43%,59 : 41,401–500,37.1–41.6,19.3,24.8,62.0,42.1,90.8,2019
401–500,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanCoursesExplore,"8,087",18.9,13%,30 : 70,401–500,37.1–41.6,30.5,42.7,37.6,66.2,39.3,2019
401–500,National Tsing Hua UniversityTaiwanCourses,"16,037",15.6,8%,41 : 59,401–500,37.1–41.6,31.2,35.6,55.8,50.6,33.2,2019
401–500,University of Nebraska Medical CenterUnited StatesCoursesEnquire,"2,806",2.3,8%,67 : 33,401–500,37.1–41.6,37.5,11.6,60.6,37.8,43.8,2019
401–500,New Mexico Institute of Mining and TechnologyUnited StatesCoursesEnquire,"1,791",6.3,9%,28 : 72,401–500,37.1–41.6,23.6,10.0,85.1,57.7,60.6,2019
401–500,Northern Arizona UniversityUnited StatesCoursesEnquire,"27,449",26.6,5%,59 : 41,401–500,37.1–41.6,18.6,13.3,87.0,34.2,30.0,2019
401–500,Northumbria UniversityUnited KingdomCoursesEnquire,"22,084",17.9,16%,54 : 46,401–500,37.1–41.6,17.2,17.1,78.7,34.6,70.5,2019
401–500,University of OklahomaUnited StatesCoursesEnquire,"27,352",10.3,7%,52 : 48,401–500,37.1–41.6,34.8,18.4,68.5,38.8,38.7,2019
401–500,Örebro UniversitySwedenCourses,"9,437",19.4,2%,61 : 39,401–500,37.1–41.6,18.5,21.0,86.3,35.3,38.3,2019
401–500,University of PaviaItalyCourses,"24,032",39.2,7%,56 : 44,401–500,37.1–41.6,21.9,23.6,73.0,53.8,46.1,2019
401–500,University of PlymouthUnited KingdomCoursesEnquire,"17,901",17.5,15%,54 : 46,401–500,37.1–41.6,18.7,19.5,69.7,34.5,69.4,2019
401–500,Polytechnic University of BariItalyCourses,"6,107",23.6,1%,32 : 68,401–500,37.1–41.6,15.7,17.9,91.8,36.5,29.4,2019
401–500,Polytechnic University of TurinItalyCourses,"31,008",30.4,14%,29 : 71,401–500,37.1–41.6,23.7,21.2,66.9,50.5,47.3,2019
401–500,University of PortoPortugalCourses,"31,855",18.9,12%,55 : 45,401–500,37.1–41.6,27.5,27.2,55.7,38.8,50.5,2019
401–500,University of PortsmouthUnited KingdomCoursesEnquire,"19,305",15.5,26%,45 : 55,401–500,37.1–41.6,16.7,15.3,69.3,34.3,86.1,2019
401–500,Qatar UniversityQatarCourses,"14,395",17.5,43%,75 : 25,401–500,37.1–41.6,18.4,24.1,62.5,53.1,99.8,2019
401–500,RMIT UniversityAustraliaCoursesEnquire,"32,151",20.2,27%,47 : 53,401–500,37.1–41.6,23.5,23.5,58.5,40.9,89.6,2019
401–500,University of Rome II – Tor VergataItalyCourses,"34,899",19.2,7%,52 : 48,401–500,37.1–41.6,22.6,16.6,74.6,36.3,45.3,2019
401–500,University of Rome IIIItalyCourses,"32,615",52.7,4%,58 : 42,401–500,37.1–41.6,27.7,23.5,70.3,37.6,39.9,2019
401–500,Rovira i Virgili UniversitySpainCourses,"12,709",12.7,10%,59 : 41,401–500,37.1–41.6,24.2,20.2,76.2,36.0,49.1,2019
401–500,Royal Veterinary CollegeUnited KingdomCoursesEnquire,"1,966",10.3,17%,77 : 23,401–500,37.1–41.6,24.5,17.3,69.0,40.1,84.7,2019
401–500,University of St GallenSwitzerlandCourses,"7,495",11.7,35%,35 : 65,401–500,37.1–41.6,32.0,19.5,57.6,43.0,96.3,2019
401–500,University of SaskatchewanCanadaCoursesEnquireExplore,"16,884",16.7,19%,56 : 44,401–500,37.1–41.6,35.7,26.0,43.6,75.0,70.7,2019
401–500,Sciences PoFranceCourses,"11,584",44.0,34%,59 : 41,401–500,37.1–41.6,34.4,25.3,57.1,36.7,72.7,2019
401–500,Semmelweis UniversityHungaryCoursesExplore,"10,809",9.6,32%,67 : 33,401–500,37.1–41.6,24.2,12.0,66.4,36.0,77.9,2019
401–500,University of SiegenGermanyCourses,"19,586",43.3,11%,49 : 51,401–500,37.1–41.6,21.1,24.5,63.9,40.3,53.8,2019
401–500,SOAS University of LondonUnited KingdomCoursesExplore,"4,965",11.7,54%,65 : 35,401–500,37.1–41.6,44.4,36.9,27.8,34.1,78.9,2019
401–500,University of South Carolina-ColumbiaUnited StatesCoursesEnquire,"31,547",16.2,6%,55 : 45,401–500,37.1–41.6,32.9,26.5,65.4,35.1,42.8,2019
401–500,SUNY University at AlbanyUnited StatesCoursesEnquire,"15,954",16.2,10%,52 : 48,401–500,37.1–41.6,21.7,35.2,65.5,37.5,48.6,2019
401–500,University of StrasbourgFranceCourses,"45,482",18.5,20%,58 : 42,401–500,37.1–41.6,28.1,21.2,64.1,37.8,70.6,2019
401–500,University of StrathclydeUnited KingdomCoursesEnquire,"17,727",19.4,27%,50 : 50,401–500,37.1–41.6,25.1,30.3,49.7,45.2,85.2,2019
401–500,Swinburne University of TechnologyAustraliaCoursesEnquire,"12,862",25.3,26%,38 : 62,401–500,37.1–41.6,24.0,26.7,59.3,38.7,77.2,2019
401–500,Tampere University of TechnologyFinlandCourses,"5,439",21.4,10%,23 : 77,401–500,37.1–41.6,25.9,21.0,58.2,71.2,55.5,2019
401–500,Teikyo UniversityJapanCourses,"23,711",18.1,2%,34 : 66,401–500,37.1–41.6,13.7,10.2,93.1,35.9,18.2,2019
401–500,Tokyo Medical and Dental University (TMDU)JapanCourses,"2,986",3.2,8%,50 : 50,401–500,37.1–41.6,41.2,21.1,55.5,61.7,26.0,2019
401–500,Tokyo Metropolitan UniversityJapanCourses,"9,185",13.4,4%,36 : 64,401–500,37.1–41.6,21.7,16.3,76.3,37.3,25.3,2019
401–500,Tongji UniversityChinaCourses,"36,511",13.5,10%,40 : 60,401–500,37.1–41.6,37.5,41.7,31.0,98.4,50.5,2019
401–500,University of TriesteItalyCourses,"16,084",22.9,9%,56 : 44,401–500,37.1–41.6,29.6,20.1,71.3,36.1,48.5,2019
401–500,University of TsukubaJapanCourses,"16,717",13.3,20%,39 : 61,401–500,37.1–41.6,42.8,34.5,34.0,45.3,42.4,2019
401–500,The University of TulsaUnited StatesCoursesEnquire,"4,563",11.9,23%,43 : 57,401–500,37.1–41.6,33.4,14.8,60.1,51.3,44.8,2019
401–500,University of TurinItalyCourses,"52,495",27.9,8%,61 : 39,401–500,37.1–41.6,19.9,24.3,73.4,44.7,43.6,2019
401–500,UiT The Arctic University of NorwayNorwayCourses,"16,266",13.4,10%,58 : 42,401–500,37.1–41.6,20.1,15.4,78.5,37.9,62.9,2019
401–500,University of Urbino Carlo BoItalyCourses,"14,386",40.3,6%,61 : 39,401–500,37.1–41.6,16.1,12.7,88.0,36.3,48.3,2019
401–500,University of ValenciaSpainCourses,"50,927",16.7,11%,62 : 38,401–500,37.1–41.6,28.0,19.6,68.0,36.3,44.9,2019
401–500,Verona UniversityItalyCourses,"19,030",26.1,5%,65 : 35,401–500,37.1–41.6,32.0,18.9,72.3,41.6,41.3,2019
401–500,Victoria University of WellingtonNew ZealandCoursesEnquire,"17,391",19.1,21%,56 : 44,401–500,37.1–41.6,23.1,30.7,50.1,55.1,88.6,2019
401–500,University of WaikatoNew ZealandCoursesEnquire,"9,805",17.1,18%,58 : 42,401–500,37.1–41.6,19.8,23.8,65.5,42.2,84.4,2019
401–500,University of the West of ScotlandUnited KingdomCoursesEnquire,"11,161",20.7,18%,58 : 42,401–500,37.1–41.6,13.2,12.2,79.1,37.0,69.9,2019
401–500,University of Wisconsin-MilwaukeeUnited StatesCoursesEnquire,"21,251",19.1,6%,53 : 47,401–500,37.1–41.6,19.6,20.9,72.5,35.3,31.8,2019
501–600,Amirkabir University of TechnologyIranCourses,"11,918",21.7,2%,35 : 65,501–600,33.5–37.0,34.5,28.9,39.6,75.1,18.8,2019
501–600,University of AveiroPortugalCourses,"9,842",16.5,11%,51 : 49,501–600,33.5–37.0,29.2,25.8,43.4,40.3,51.0,2019
501–600,University of the Balearic IslandsSpainCourses,"11,507",12.7,6%,59 : 41,501–600,33.5–37.0,19.7,12.9,71.6,34.7,45.5,2019
501–600,Beihang UniversityChinaCourses,"29,520",14.4,6%,,501–600,33.5–37.0,33.2,33.8,30.7,99.2,26.6,2019
501–600,University of BergamoItalyCourses,"17,349",56.7,6%,62 : 38,501–600,33.5–37.0,20.6,20.0,61.6,43.6,34.8,2019
501–600,Bilkent UniversityTurkeyCourses,"10,659",15.0,7%,46 : 54,501–600,33.5–37.0,22.2,21.7,59.4,39.5,61.0,2019
501–600,SUNY Binghamton UniversityUnited StatesCoursesEnquire,"17,582",23.0,15%,48 : 52,501–600,33.5–37.0,23.0,19.9,65.0,36.8,43.4,2019
501–600,Boğaziçi UniversityTurkeyCourses,"12,374",25.4,7%,49 : 51,501–600,33.5–37.0,21.8,22.5,56.1,60.3,46.0,2019
501–600,Bond UniversityAustraliaCoursesEnquire,"3,273",10.7,41%,53 : 47,501–600,33.5–37.0,19.4,20.0,57.1,34.6,88.2,2019
501–600,Université Bourgogne Franche-Comté (UBFC)FranceCourses,"58,837",33.6,11%,54 : 46,501–600,33.5–37.0,22.3,14.1,61.5,38.9,50.4,2019
501–600,Bournemouth UniversityUnited KingdomCoursesEnquire,"12,777",16.5,19%,57 : 43,501–600,33.5–37.0,28.9,17.6,51.8,35.0,79.5,2019
501–600,University of BresciaItalyCourses,"14,296",26.2,7%,46 : 54,501–600,33.5–37.0,14.6,15.8,74.0,38.4,41.8,2019
501–600,Carleton UniversityCanadaCoursesEnquire,"26,856",30.3,20%,48 : 52,501–600,33.5–37.0,20.1,28.9,49.6,36.8,68.1,2019
501–600,University of CataniaItalyCourses,"26,267",20.6,1%,57 : 43,501–600,33.5–37.0,27.3,15.8,67.8,35.4,29.1,2019
501–600,Central Queensland UniversityAustraliaCoursesExplore,"13,770",26.4,28%,56 : 44,501–600,33.5–37.0,20.1,11.6,63.7,36.7,60.6,2019
501–600,Charles Darwin UniversityAustraliaCoursesEnquire,"6,537",25.7,34%,64 : 36,501–600,33.5–37.0,19.5,26.4,49.6,44.4,80.8,2019
501–600,Chemnitz University of TechnologyGermanyCourses,"10,831",47.3,22%,42 : 58,501–600,33.5–37.0,34.5,25.2,34.1,61.1,52.2,2019
501–600,"China Medical University, TaiwanTaiwanCoursesExplore","7,730",17.0,10%,54 : 46,501–600,33.5–37.0,24.4,36.0,47.5,84.9,32.0,2019
501–600,Chung-Ang UniversitySouth KoreaCourses,"13,815",18.9,18%,,501–600,33.5–37.0,38.8,36.3,25.4,65.3,49.3,2019
501–600,University of CoimbraPortugalCourses,"21,236",17.4,17%,56 : 44,501–600,33.5–37.0,22.7,26.3,46.3,40.1,56.3,2019
501–600,Creighton UniversityUnited StatesCoursesEnquire,"8,281",11.5,10%,62 : 38,501–600,33.5–37.0,40.5,11.4,58.0,36.2,31.7,2019
501–600,East China Normal UniversityChinaCoursesExplore,"25,237",11.5,17%,66 : 34,501–600,33.5–37.0,25.8,21.0,48.4,49.8,55.3,2019
501–600,Edith Cowan UniversityAustraliaCoursesExplore,"17,100",36.0,26%,60 : 40,501–600,33.5–37.0,17.4,20.8,58.9,37.7,81.7,2019
