Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
1169,Perm National Research Polytechnic University Russian Federation,"9,509",9,5%,38 : 62,9.8–18.9,18.2,9.1,1.5,55.9,17.6,2019,Russian Federation
1170,Perm State University Russian Federation,"12,452",14.2,1%,65:35:00,9.8–18.9,16,10.2,3.9,40.7,19.3,2019,Russian Federation
1171,Pirogov Russian National Research Medical University Russian Federation,"8,608",5.7,7%,73:27:00,9.8–18.9,24.2,8.6,3.8,37.1,24.8,2019,Russian Federation
1172,P M A S Arid Agriculture University Rawalpindi Pakistan,"10,919",45.5,0%,39 : 61,9.8–18.9,13.6,8.2,11.1,34,31.6,2019,Pakistan
1173,Universidad Pontificia Bolivariana ( U P B) Colombia,"13,748",11.3,1%,56:44:00,9.8–18.9,16,8,4.8,36.3,35.1,2019,Colombia
1174,Pontifícia Universidade Católica do Paraná Brazil,"25,198",25.8,1%,52:48:00,9.8–18.9,15.4,9.4,16.1,36.1,24.7,2019,Brazil
1175,Pontifical Catholic University of Valparaíso Chile,"15,165",23.1,1%,43:57:00,9.8–18.9,15.3,14.3,13.8,46.9,48.7,2019,Chile
1176,Prince of Songkla University Thailand,"41,469",18,2%,69:31:00,9.8–18.9,15.1,9,21.5,36.2,31.7,2019,Thailand
1177,P S G College of Technology India,"8,283",15.3,0%,38 : 62,9.8–18.9,13.3,9.3,13,34.6,13.4,2019,India
1178,Universidade do Estado do Rio de Janeiro ( U E R J) Brazil,"22,918",8.7,0%,57:43:00,9.8–18.9,23,10.7,12.1,41.4,21,2019,Brazil
1179,Ritsumeikan University Japan,"32,739",17,5%,36 : 64,9.8–18.9,17.2,11.2,14,34.9,31.6,2019,Japan
1180,University of the Ryukyus Japan,"8,184",10.9,2%,38 : 62,9.8–18.9,18.3,11.1,11.4,42.3,25.4,2019,Japan
1181,Saga University Japan,"6,994",9.9,2%,38 : 62,9.8–18.9,20.7,11.8,17.6,48.2,23.1,2019,Japan
1182,Saitama Medical University Japan,"1,889",1.5,0%,52:48:00,9.8–18.9,23.5,9,21.2,37.7,14.6,2019,Japan
1183,"University of Santiago, Chile ( U S A C H) Chile","24,606",25.9,2%,40 : 60,9.8–18.9,15.1,11.4,12.1,34.1,46.2,2019,Chile
1184,S A S T R A University India,"12,997",16.5,0%,50:50:00,9.8–18.9,14.3,8.7,17.3,34.4,13.2,2019,India
1185,Sathyabama Institute of Science and Technology India,"15,886",19.5,1%,48:52:00,9.8–18.9,15.9,8.4,3.4,34.5,15,2019,India
1186,University of Sciences and Technology Houari Boumediene Algeria,"35,418",19,1%,,9.8–18.9,15.6,7.9,8.9,34,35.2,2019,Algeria
1187,Sechenov University Russian Federation,"15,320",8.5,13%,79:21:00,9.8–18.9,21.8,8.6,1.4,35.9,29.7,2019,Russian Federation
1188,Seoul National University of Science and Technology ( Seoul Tech) South Korea,"12,407",17.3,3%,34 : 66,9.8–18.9,22.2,15.6,15,39.2,19.8,2019,South Korea
1189,Shahid Bahonar University of Kerman Iran,"14,635",22.2,0%,56:44:00,9.8–18.9,14.6,11.4,11.5,35.6,14.1,2019,Iran
1190,Shahrood University of Technology Iran,"8,453",27,0%,46:54:00,9.8–18.9,14.1,12.5,15.1,35.5,15.8,2019,Iran
1191,Shanghai Maritime University China,"23,281",18,3%,40 : 60,9.8–18.9,13.5,9.3,23.4,46.6,33.2,2019,China
1192,Shibaura Institute of Technology Tokyo Japan,"7,287",23.9,13%,0.847916667,9.8–18.9,17.4,12.5,8,38.3,34.8,2019,Japan
1193,Shimane University Japan,"6,125",7.9,2%,36 : 64,9.8–18.9,22.6,10.9,12,37.5,19.3,2019,Japan
1194,Shizuoka University Japan,"9,932",13.7,3%,29 : 71,9.8–18.9,17.1,12.9,13.9,38.4,25.4,2019,Japan
1195,University of Shizuoka Japan,"2,937",11.4,4%,60:40:00,9.8–18.9,20,11.9,13.3,37.4,20.6,2019,Japan
1196,Showa University Japan,"3,650",2,0%,58:42:00,9.8–18.9,30.3,8.6,16.8,36.3,16.1,2019,Japan
1197,Siberian Federal University Russian Federation,"26,705",15.9,3%,50:50:00,9.8–18.9,16.8,10.8,6.8,52.6,19.9,2019,Russian Federation
1198,University of Silesia in Katowice Poland,"25,546",13.5,3%,67:33:00,9.8–18.9,17.4,8.5,18.7,34.1,23,2019,Poland
1199,Simón Bolívar University Venezuela,"11,040",14.9,0%,44:56:00,9.8–18.9,16,8.4,16.8,49.5,44.4,2019,Venezuela
1200,Slovak University of Technology in Bratislava Slovakia,"14,579",13,2%,34 : 66,9.8–18.9,20.3,11.1,9.9,36.5,26.5,2019,Slovakia
1201,Sofia University Bulgaria,"23,029",14.4,5%,65:35:00,9.8–18.9,18.4,9.5,12.6,35.2,42.1,2019,Bulgaria
1202,University of Sonora Mexico,"29,921",20.9,1%,53:47:00,9.8–18.9,12.8,7.2,6.9,34,27.5,2019,Mexico
1203,Sophia University Japan,"13,281",24.5,9%,54:46:00,9.8–18.9,18.4,11.3,11.6,35.3,39.3,2019,Japan
1204,University of South Africa South Africa,"163,520",106.7,8%,67:33:00,9.8–18.9,20.2,15.8,9.9,34.9,35,2019,South Africa
1205,University of South China China,"21,927",3.6,1%,44:56:00,9.8–18.9,21.6,6.9,8.1,35.5,14.9,2019,China
1206,Southern Federal University Russian Federation,"17,627",8.3,8%,51:49:00,9.8–18.9,21.3,9.7,12.9,42,25.3,2019,Russian Federation
1207,University of Southern Mississippi United States,"13,562",18.5,4%,64:36:00,9.8–18.9,19.8,11.3,22,38.3,26.4,2019,United States
1208,South Valley University Egypt,"46,462",55.9,0%,62:38:00,9.8–18.9,10.7,7.1,23.2,34.1,44.8,2019,Egypt
1209,Southwest Jiaotong University China,"36,351",16,2%,25 : 75,9.8–18.9,16.7,15.4,12.8,37.7,23.3,2019,China
1210,Srinakharinwirot University Thailand,"23,105",19.5,0%,66:34:00,9.8–18.9,15,7.8,11.1,34.2,20.5,2019,Thailand
1211,S R M Institute of Science and Technology India,"47,375",16.4,2%,0.929861111,9.8–18.9,14.2,7.8,14,34.2,16.4,2019,India
1212,Universidade Estadual de Maringá Brazil,"20,522",11.4,1%,55:45:00,9.8–18.9,20.7,10,6.4,34.4,16,2019,Brazil
1213,State University of Ponta Grossa Brazil,"10,378",10.8,0%,57:43:00,9.8–18.9,17.3,18.8,16.8,34,16.5,2019,Brazil
1214,St Petersburg Electrotechnical University ( L E T I) Russian Federation,"8,418",13.1,12%,30 : 70,9.8–18.9,18.8,10.4,19.5,57.6,26.2,2019,Russian Federation
1215,Tamil Nadu Agricultural University India,"5,893",7.3,0%,62:38:00,9.8–18.9,26,9.1,1.8,39.2,14.3,2019,India
1216,Tamkang University Taiwan,"27,041",23.9,7%,48:52:00,9.8–18.9,14.9,12.2,11.2,35.7,27.5,2019,Taiwan
1217,University of Tarapacá Chile,"8,857",25,2%,54:46:00,9.8–18.9,11.4,11.6,11.4,34,48.4,2019,Chile
1218,Taras Shevchenko National University of Kyiv Ukraine,"22,400",8.8,4%,57:43:00,9.8–18.9,24.8,9.9,9.5,34.7,33,2019,Ukraine
1219,Technical University of Košice Slovakia,"9,013",11.6,5%,29 : 71,9.8–18.9,19.6,11.5,13.7,42.9,22.7,2019,Slovakia
1220,Technical University of Liberec Czech Republic,"5,706",11,11%,55:45:00,9.8–18.9,17.9,11.7,5.3,39.6,34.6,2019,Czech Republic
1221,Universiti Teknologi M A R A Malaysia,"54,418",16.4,0%,66:34:00,9.8–18.9,16.3,10.8,10.4,34.4,18.6,2019,Malaysia
1222,Institut Teknologi Sepuluh Nopember Indonesia,"16,712",13.2,3%,40 : 60,9.8–18.9,16.1,9.2,20.6,52.5,29.6,2019,Indonesia
1223,Thammasat University Thailand,"33,023",12.2,1%,63:37:00,9.8–18.9,18.4,14.2,11.4,54.5,35,2019,Thailand
1224,University of Abou Bekr Belkaïd Tlemcen Algeria,"44,100",24.3,1%,72:28:00,9.8–18.9,30.4,9.2,5.2,34.1,39.7,2019,Algeria
1225,T O B B University of Economics and Technology Turkey,"5,474",16.5,1%,46:54:00,9.8–18.9,15.2,10.9,27.1,34.7,25.4,2019,Turkey
1226,Tokai University Japan,"30,070",12.9,2%,26 : 74,9.8–18.9,17.8,9.1,18,36,22.1,2019,Japan
1227,Tokyo University of Agriculture Japan,"12,145",34.9,2%,41:59:00,9.8–18.9,16.5,9.6,9.9,36.1,18.1,2019,Japan
1228,Tokyo City University Japan,"7,760",15.9,1%,1.011805556,9.8–18.9,15.4,9.4,9.4,42.4,18.4,2019,Japan
1229,Tokyo Denki University Japan,"9,315",25.2,2%,0.520138889,9.8–18.9,14.2,8.7,2.3,37.8,17.6,2019,Japan
1230,Tokyo University of Marine Science and Technology Japan,"2,686",11,7%,33 : 67,9.8–18.9,22.7,14,9.5,50.3,31.1,2019,Japan
1231,Tomas Bata University in Zlín Czech Republic,"8,804",20.2,10%,59:41:00,9.8–18.9,14.8,15.8,14.4,35.7,37.4,2019,Czech Republic
1232,Tottori University Japan,"6,094",8.2,2%,36 : 64,9.8–18.9,21.9,10.1,11.5,36,18.8,2019,Japan
1233,University of Toyama Japan,"9,289",12,3%,40 : 60,9.8–18.9,20.2,12.5,15.4,44.1,26.7,2019,Japan
1234,Toyo University Japan,"30,484",31,4%,41:59:00,9.8–18.9,14.2,9,6.5,34.8,32.1,2019,Japan
1235,University of Tunis El Manar Tunisia,"34,455",10.3,1%,67:33:00,9.8–18.9,27.1,9.2,13.8,34,38.8,2019,Tunisia
1236,Unisinos University Brazil,"13,475",21.1,1%,52:48:00,9.8–18.9,20.8,14.2,14.7,34.9,19.3,2019,Brazil
1237,Ural Federal University Russian Federation,"24,406",10.9,9%,49:51:00,9.8–18.9,22,14.6,7.5,48.4,42.3,2019,Russian Federation
1238,Urmia University Iran,"13,569",27.8,0%,50:50:00,9.8–18.9,22.6,11.9,13.2,35.7,14.2,2019,Iran
1239,Utsunomiya University Japan,"4,989",13.8,5%,37 : 63,9.8–18.9,16.7,10,5.4,35.9,23.9,2019,Japan
1240,University of Valparaíso Chile,"16,535",17.9,3%,57:43:00,9.8–18.9,13.5,9.2,17.1,34.3,47,2019,Chile
1241,University of Veracruz Mexico,"61,886",13.6,0%,53:47:00,9.8–18.9,14.2,8.4,4.6,34,23.9,2019,Mexico
1242,"University of Veterinary and Animal Sciences, Lahore Pakistan","5,255",28.9,1%,47:53:00,9.8–18.9,14.4,9.3,6.3,36.3,33.9,2019,Pakistan
1243,V. N. Karazin Kharkiv National University Ukraine,"16,069",10.1,29%,55:45:00,9.8–18.9,19,9,3.1,34.3,52.5,2019,Ukraine
1244,Volgograd State Technical University Russian Federation,"13,061",12.5,7%,39 : 61,9.8–18.9,14.9,8.3,7.9,40.9,20.4,2019,Russian Federation
1245,Voronezh State University Russian Federation,"15,490",11.4,10%,57:43:00,9.8–18.9,19.5,8.3,3.8,34.6,26.3,2019,Russian Federation
1246,V S B - Technical University of Ostrava Czech Republic,"14,835",17.3,10%,36 : 64,9.8–18.9,20.8,11.2,13.5,40.3,33.4,2019,Czech Republic
1247,University of West Bohemia Czech Republic,"11,984",17.5,4%,52:48:00,9.8–18.9,17.2,13.5,16,38.4,28.1,2019,Czech Republic
1248,Universidade Estadual do Oeste do Paraná ( Unioeste) Brazil,"10,919",4.1,0%,59:41:00,9.8–18.9,21.8,7.3,2.9,34.1,13.7,2019,Brazil
1249,West University of Timişoara Romania,"14,189",18.3,4%,64:36:00,9.8–18.9,16,10.7,20.1,34.3,31.8,2019,Romania
1250,Wrocław University of Science and Technology Poland,"34,819",18.5,2%,33 : 67,9.8–18.9,14.8,10.7,26.4,37.8,19.9,2019,Poland
1251,Yamaguchi University Japan,"10,569",10.8,4%,36 : 64,9.8–18.9,21.1,10,11.5,43,23.5,2019,Japan
1252,Yanshan University China,"32,183",16.3,1%,39 : 61,9.8–18.9,15.5,10.9,9.1,52.5,15,2019,China
1253,Yarmouk University Jordan,"35,320",34.5,9%,61:39:00,9.8–18.9,20,8.1,6.9,35.4,49.4,2019,Jordan
1254,Yazd University Iran,"13,635",30.3,0%,57:43:00,9.8–18.9,13.6,11.1,15.8,35.5,15.8,2019,Iran
1255,Yeditepe University Turkey,"19,705",18.6,2%,55:45:00,9.8–18.9,14.6,9.8,10.1,49.7,22.1,2019,Turkey
1256,Yuan Ze University Taiwan,"8,186",19.2,9%,42:58:00,9.8–18.9,16.3,14.3,16.5,49.2,27.4,2019,Taiwan
1257,Zagazig University Egypt,"135,036",20.6,2%,51:49:00,9.8–18.9,12.9,7.2,18.7,34,38.4,2019,Egypt
1258,University of Zanjan Iran,"10,606",26.7,0%,55:45:00,9.8–18.9,17.8,10.6,22.2,39.7,17.8,2019,Iran
1,University of Oxford United Kingdom,"20,664",11.2,41%,46:54:00,95.4,90.5,99.6,98.4,65.5,96.4,2020,United Kingdom
2,California Institute of Technology United States,"2,240",6.4,30%,34 : 66,94.5,92.1,97.2,97.9,88,82.5,2020,United States
3,University of Cambridge United Kingdom,"18,978",10.9,37%,47:53:00,94.4,91.4,98.7,95.8,59.3,95,2020,United Kingdom
4,Stanford University United States,"16,135",7.3,23%,43:57:00,94.3,92.8,96.4,99.9,66.2,79.5,2020,United States
5,Massachusetts Institute of Technology United States,"11,247",8.6,34%,39 : 61,93.6,90.5,92.4,99.5,86.9,89,2020,United States
6,Princeton University United States,"7,983",8.1,25%,45:55:00,93.2,90.3,96.3,98.8,58.6,81.1,2020,United States
7,Harvard University United States,"20,823",9.2,24%,49:51:00,93,89.2,98.6,99.1,47.3,76.3,2020,United States
8,Yale University United States,"12,402",5.4,20%,50:50:00,91.7,92,94.8,97.3,52.4,68.7,2020,United States
9,The University of Chicago United States,"13,833",5.7,28%,46:54:00,90.2,89.1,91.4,96.7,52.7,76,2020,United States
10,Imperial College London United Kingdom,"16,760",11.7,56%,38 : 62,89.8,84.5,87.6,97,69.9,97.1,2020,United Kingdom
11,University of Pennsylvania United States,"20,578",6.5,21%,52:48:00,89.6,87.5,90.4,98.2,74,65,2020,United States
12,Johns Hopkins University United States,"16,171",4.5,26%,52:48:00,89.2,81.7,91.4,98.3,91.3,73.2,2020,United States
13,"University of California, Berkeley United States","41,081",13.7,17%,50:50:00,88.3,83,90.6,99.2,46.1,70.4,2020,United States
14,E T H Zurich Switzerland,"18,956",12.5,39%,32 : 68,88.3,81.8,92.8,90.3,56.8,98.2,2020,Switzerland
15,U C L United Kingdom,"32,665",10.6,52%,57:43:00,87.1,77.8,88.7,96.1,42.7,96.2,2020,United Kingdom
16,Columbia University United States,"26,586",5.8,37%,,87,85.6,82.6,98.2,44.8,79.3,2020,United States
17,"University of California, Los Angeles United States","41,066",9.4,17%,54:46:00,86.8,83.1,88.6,97.3,51.3,64.1,2020,United States
18,University of Toronto Canada,"73,370",20.1,21%,59:41:00,85.5,76.6,89.5,93.6,50.5,84.7,2020,Canada
19,Cornell University United States,"22,319",9.8,25%,49:51:00,85.1,79.7,86,96.6,37.1,73.4,2020,United States
20,Duke University United States,"15,309",4.3,19%,49:51:00,84,82.4,76.8,97,99.9,61.5,2020,United States
21,University of Michigan- Ann Arbor United States,"42,982",8.3,17%,49:51:00,83.8,79.4,86.1,94.9,47.7,59.2,2020,United States
22,Northwestern University United States,"17,951",12.8,20%,49:51:00,83.5,74.2,83.8,97.8,78.4,64.1,2020,United States
23,Tsinghua University China,"38,783",12,11%,34 : 66,82.6,86.6,94,74.6,100,47.4,2020,China
24,Peking University China,"39,575",11.5,15%,46:54:00,82.3,89.1,90,73.2,86.6,59.6,2020,China
25,National University of Singapore Singapore,"30,869",17.9,28%,51:49:00,81.9,76.8,90.4,76.9,58.8,95.5,2020,Singapore
26,University of Washington United States,"45,692",11.1,16%,53:47:00,81.6,72.2,82.2,98.6,47.5,60.4,2020,United States
27,Carnegie Mellon University United States,"13,430",13.6,48%,41:59:00,81.3,65.9,82.7,98.2,50.5,80.6,2020,United States
28,London School of Economics and Political Science United Kingdom,"10,570",12.1,71%,53:47:00,81.3,69,83,92.8,35.1,93.2,2020,United Kingdom
29,New York University United States,"44,466",8.9,33%,57:43:00,81.1,76.8,77.5,96.5,38.7,65.4,2020,United States
30,University of Edinburgh United Kingdom,"29,433",12.8,41%,60:40:00,79.4,67.3,74.1,96.4,38.9,93.8,2020,United Kingdom
31,"University of California, San Diego United States","33,579",13,23%,46:54:00,78.8,62.6,78.9,97.7,90.3,63.7,2020,United States
32,L M U Munich Germany,"34,519",34.7,17%,61:39:00,77.8,68.4,77,88.8,100,67.2,2020,Germany
33,University of Melbourne Australia,"47,385",26.3,46%,56:44:00,77.8,65.9,74.1,89.8,76.3,93.1,2020,Australia
34,University of British Columbia Canada,"52,108",18.1,32%,55:45:00,76.3,61.5,73.2,92.5,43.8,94.4,2020,Canada
35,University of Hong Kong Hong Kong,"18,260",18.2,44%,54:46:00,75.9,69.5,77.2,76.6,59.7,98.6,2020,Hong Kong
36,King’s College London United Kingdom,"26,057",12.5,44%,62:38:00,75.7,61.3,68.5,94.8,45.6,95.6,2020,United Kingdom
37,The University of Tokyo Japan,"25,913",10.6,12%,,75.7,85.9,89.6,60.7,77.4,38.2,2020,Japan
38,École Polytechnique Fédérale de Lausanne Switzerland,"10,492",11.4,59%,28 : 72,75.4,66.6,66.3,88.3,66.4,98.6,2020,Switzerland
39,Georgia Institute of Technology United States,"21,372",18.3,27%,33 : 67,75.4,60.2,76.4,90.4,61.6,77.1,2020,United States
40,University of Texas at Austin United States,"49,165",17.2,10%,52:48:00,75.4,68.2,76.2,93.2,46.6,39.1,2020,United States
41,Karolinska Institute Sweden,"7,777",9,20%,68:32:00,74.7,55.4,71.4,96.1,71.2,81.2,2020,Sweden
42,Mc Gill University Canada,"31,294",13,29%,58:42:00,74.3,65,71.9,84.7,42.8,90.4,2020,Canada
43,Technical University of Munich Germany,"40,472",47.8,27%,34 : 66,74.1,64.6,70.4,85.5,100,72.9,2020,Germany
44,Heidelberg University Germany,"20,800",16.1,18%,54:46:00,73.5,67.1,60.3,96.2,54.6,67.5,2020,Germany
45,K U Leuven Belgium,"45,049",36.3,15%,50:50:00,73.2,58.7,73.9,85.3,99.3,71.8,2020,Belgium
46,Paris Sciences et Lettres – P S L Research University Paris France,"21,298",11.5,26%,46:54:00,73.2,71.6,71.4,77,52.2,78.7,2020,France
47,The Hong Kong University of Science and Technology Hong Kong,"10,125",22.3,31%,,73.1,57.4,66.1,89.8,71.9,97.7,2020,Hong Kong
48,University of Illinois at Urbana- Champaign United States,"44,916",17.9,24%,47:53:00,72.9,63.2,78,84.4,47.9,54.3,2020,United States
49,"Nanyang Technological University, Singapore Singapore","25,088",15.9,27%,48:52:00,72.9,57.6,70.4,84.9,76.5,95.1,2020,Singapore
50,Australian National University Australia,"17,359",17.8,44%,52:48:00,72.1,54.4,69.7,88.4,46.4,95.5,2020,Australia
51,University of Wisconsin- Madison United States,"39,154",10,13%,,72,68.8,70.3,85.3,46.3,47.4,2020,United States
52,Washington University in St Louis United States,"13,401",7.5,20%,,71.5,64.2,57.5,98.8,40.7,57.1,2020,United States
53,Brown University United States,"9,391",10.8,20%,,70,64,56.1,94.9,36.5,61.4,2020,United States
54,University of North Carolina at Chapel Hill United States,"35,419",9.4,8%,57:43:00,69.9,59.7,63.2,96.9,43.9,38,2020,United States
55,"University of California, Davis United States","39,164",12,14%,58:42:00,69.7,62.4,66.9,83.2,51.4,62.4,2020,United States
56,University of Manchester United Kingdom,"37,038",14.4,40%,53:47:00,69.7,56.9,63.8,85.2,44.7,91,2020,United Kingdom
57,"University of California, Santa Barbara United States","24,089",27.6,16%,52:48:00,69.6,47.9,63.6,96.4,84.5,68.1,2020,United States
58,Chinese University of Hong Kong Hong Kong,"18,340",18.6,32%,,69.6,55.8,62.8,84.5,55.2,97.8,2020,Hong Kong
59,Wageningen University & Research Netherlands,"13,914",21.3,27%,53:47:00,69.4,49.3,57.1,96.1,100,81.9,2020,Netherlands
60,University of Sydney Australia,"45,111",20.1,39%,58:42:00,69.3,51,61.5,90.7,67.7,89.2,2020,Australia
61,Boston University United States,"25,662",11.6,27%,60:40:00,68.5,57.3,55.6,95.7,41.4,64.4,2020,United States
62,University of Amsterdam Netherlands,"26,723",13.5,18%,56:44:00,68.1,48,63.4,91.2,45.3,82,2020,Netherlands
63,University of Southern California United States,"36,929",11.7,25%,53:47:00,68.1,54.7,59.3,93.1,39.7,66.2,2020,United States
64,Seoul National University South Korea,"26,182",12.4,12%,,68,72.3,71.6,66.5,86.6,35.8,2020,South Korea
65,Kyoto University Japan,"22,566",9,9%,24 : 76,67.7,73.7,78.1,59.9,66.2,33.7,2020,Japan
66,The University of Queensland Australia,"39,144",35.7,34%,55:45:00,67.4,49.3,58.7,86.8,80.9,92.5,2020,Australia
67,Delft University of Technology Netherlands,"18,743",20.2,30%,29 : 71,66.7,55.3,72.3,63.2,99.4,92.8,2020,Netherlands
68,Leiden University Netherlands,"28,741",18.7,16%,59:41:00,66.7,48.3,65,83.1,72.7,79.4,2020,Netherlands
69,Erasmus University Rotterdam Netherlands,"23,167",20.4,23%,51:49:00,66.3,39.4,57.3,97.1,63.6,87.3,2020,Netherlands
70,Ohio State University ( Main campus) United States,"54,372",12.5,13%,50:50:00,66.1,57.5,56.1,87.3,53.3,59.5,2020,United States
71,U N S W Sydney Australia,"44,336",35.7,41%,47:53:00,65.9,50.2,58.2,82.9,57.9,93.7,2020,Australia
72,Mc Master University Canada,"24,412",28.1,17%,55:45:00,65.4,44.5,50.1,94.8,94,82.7,2020,Canada
73,University of Groningen Netherlands,"27,228",23.8,21%,51:49:00,65.1,42.3,55.6,91.6,79.8,82.5,2020,Netherlands
74,Humboldt University of Berlin Germany,"33,463",56.1,17%,,65,61.8,66.8,67.9,40.2,67.8,2020,Germany
75,Monash University Australia,"52,989",33.9,39%,57:43:00,64.7,47.3,56.6,83.8,67.2,89.9,2020,Australia
76,Utrecht University Netherlands,"31,833",14.2,9%,59:41:00,64.7,44.1,61.2,88.4,65.3,65.5,2020,Netherlands
77,University of Warwick United Kingdom,"20,599",13.2,41%,49:51:00,64.6,46.9,52.7,88.8,42.8,93.8,2020,United Kingdom
78,Penn State ( Main campus) United States,"46,204",15.3,16%,46:54:00,64.2,55.2,67.1,75.7,52.1,47.4,2020,United States
79,University of Minnesota United States,"61,120",12.4,11%,52:48:00,64.1,55.2,59.3,82.7,78.2,40.2,2020,United States
80,Charité - Universitätsmedizin Berlin Germany,"7,076",17.6,19%,64:36:00,64,47.6,47.3,94.9,92.7,63.5,2020,Germany
81,Emory University United States,"12,735",4,20%,58:42:00,64,56,40.4,98.8,45.4,57.9,2020,United States
82,University of Science and Technology of China China,"16,245",7.7,4%,,64,64.6,59.5,74.7,79.6,31.3,2020,China
83,Sorbonne University France,"43,076",13.5,19%,58:42:00,64,62.3,50.6,79.9,38.4,69.2,2020,France
84,Michigan State University United States,"44,789",16.5,16%,51:49:00,63.9,56.6,57.4,80,37.8,63.3,2020,United States
85,University of Montreal Canada,"36,794",20.2,22%,,63.4,48.2,49.7,86.4,70,84.1,2020,Canada
86,University of Freiburg Germany,"21,475",42.8,23%,54:46:00,63.3,49.1,51.6,83.1,100,75.7,2020,Germany
87,University of Bristol United Kingdom,"21,783",13.6,27%,54:46:00,63.2,41.8,48.4,95.5,40.9,86.6,2020,United Kingdom
88,Purdue University West Lafayette United States,"40,451",15.7,23%,43:57:00,63.1,57.5,66.4,63,64.3,72,2020,United States
89,Sungkyunkwan University ( S K K U) South Korea,"23,342",19.5,15%,43:57:00,63,57.6,61.2,70.3,97.3,51.1,2020,South Korea
90,University of Zurich Switzerland,"22,609",12.3,21%,57:43:00,62.8,47,46.7,88.2,53,92.2,2020,Switzerland
91,"University of Maryland, College Park United States","33,108",16.6,11%,48:52:00,62.7,46.9,59.1,89.6,39.2,41.2,2020,United States
92,University of Tübingen Germany,"27,901",37.5,14%,58:42:00,62.7,51.2,56.2,80.1,67,64,2020,Germany
93,École Polytechnique France,"3,030",5.7,40%,0.970833333,62.5,59.6,49.1,70.2,69.6,95.2,2020,France
94,University of Basel Switzerland,"11,518",15.8,27%,56:44:00,62.4,43,41.2,91.4,99.4,96.1,2020,Switzerland
95,Dartmouth College United States,"6,247",7.7,15%,49:51:00,62.4,58.4,39.9,96.4,41,39.6,2020,United States
96,"University of California, Irvine United States","32,706",16.5,26%,52:48:00,62.3,43.3,46.5,94.9,58.9,71.9,2020,United States
97,University of Helsinki Finland,"22,072",16.6,5%,66:34:00,62.3,43.4,59.3,88.1,38.1,55.1,2020,Finland
98,Lund University Sweden,"27,266",12.1,19%,54:46:00,62.3,40.7,54.3,86.3,81,77.7,2020,Sweden
99,University of Glasgow United Kingdom,"25,357",15.4,37%,59:41:00,62.2,41.1,47.9,91.8,40,92.3,2020,United Kingdom
100,R W T H Aachen University Germany,"45,377",61.1,21%,32 : 68,62.2,55.6,61.5,67.3,98.1,59,2020,Germany
